corridorName,direction,tapInStopsName,tapOutStopsName,payCardBank,payCardSex
Cilangkap - Cililitan,0.0,Ps. Kramat Jati 2,Jln. Olahraga 1 Raya Bogor,emoney,F
Puri Beta - Pancoran Barat,1.0,Kebayoran Lama,JORR,dki,M
Rempoa - Blok M,1.0,One Park Residences,Jln. Bungur,dki,M
Kampung Rambutan - Pondok Gede,0.0,Jln. Kramat Lubang Buaya,Pertigaan Cedang 1,dki,F
Kampung Rambutan - Monas,0.0,Pancoran Tugu Arah Barat,Bundaran HI,emoney,F
Pasar Minggu - Tanah Abang,0.0,Grand Pasar Minggu,Pasar Minggu,dki,F
Blok M - Kota,1.0,Karet Sudirman,Masjid Agung,emoney,M
Rusun Pesakih - Kalideres,1.0,Pertamina Kalideres Daan Mogot,Rusun Pesakih,dki,M
Pelabuhan Kaliadem - Kota,1.0,SMAK Penabur Enam 2,Pelabuhan Kali Adem,dki,M
Kampung Rambutan - Pinang Ranti,0.0,SDN Dukuh 01,Sbr. Polsek Makasar,emoney,F
Tanjung Priok - Jembatan Item,0.0,Simpang Jln. Cemara,Puskesmas Sunter Agung I,brizzi,M
Andara - Stasiun Universitas Pancasila,0.0,Sbr. Sekolah Islam Al Azhar Jagakarsa,Gg. H. Ali,dki,F
Jakarta International Stadium - Senen,0.0,Danau Agung 1,Honda Letjen Suprapto,flazz,M
Batusari - Grogol,1.0,Simpang Tj. Duren Timur 5,Sbr. Jln. Angsana Kemanggisan,online,M
Pinang Ranti - Kampung Rambutan,0.0,Gg. Suka Damai,Jln. Kramat I Rawabinong,emoney,F
Kampung Rambutan - Tanjung Priok,1.0,Cempaka Putih,Plumpang Pertamina Arah Utara,dki,M
Cililitan - Kp. Pulo,0.0,Graha Dirgantara,Sbr. Jln. Masjid Al Munir,dki,M
Summarecon Bekasi - BNN,0.0,Jatibening 1,Cawang Blue Bird,brizzi,M
Terminal Kalideres - Terminal Muara Angke,0.0,Karang Asri,Term. Muara Angke 2,dki,F
Blok M - Andara,0.0,Sbr. Jln. H. Jian 2B Cipete,SMPN 68,brizzi,F
Rusun Rawa Bebek - Bukit Duri,0.0,Penggilingan,Perumnas Klender,online,M
Rusun Cakung Barat - Pulo Gadung,1.0,Jln. Anggrek Raya,PTC Pulo Gadung,bni,M
Rusun Flamboyan - Cengkareng,0.0,RSUD Boulevard Raya,Mall Taman Palem 3,dki,M
Pulo Gadung - Monas,0.0,Bermis,Atrium,dki,F
PGC 1 - Ancol,0.0,Matraman Baru,Kramat Sentiong,emoney,F
Pasar Minggu - Tanah Abang,1.0,Term. Pasar Minggu 2,MH Thamrin,flazz,M
Jakarta International Stadium - Senen,0.0,Sekolah Penabur Gunung Sahari,Term. Senen,brizzi,M
Kampung Rambutan - Lebak Bulus,1.0,Gelanggang TB Simatupang,Jln. Mastrip,emoney,F
Andara - Stasiun Universitas Pancasila,0.0,Jln. H. Terin Pangkalan Jati,Kav Polri Blok E Jagakarsa,brizzi,F
Blok M - PGC,1.0,Jln. Poncol Jaya 1,PLN Pusat,brizzi,F
Taman Waduk Papanggo - Kota Tua,0.0,Jln. Hidup Baru,Mangga Dua Square,brizzi,F
Cilangkap - Cililitan,1.0,Simpang Mabes Hankam Raya Ceger,Panti Sosial Bina Laras,emoney,F
Dukuh Atas - Casablanca via Epicentrum Raya,0.0,Casablanca,Sbr. Multivision Tower,brizzi,F
Rusun Jatinegara Kaum - Pulo Gadung,0.0,Masjid Jami Al Makmur Klender,Transjakarta Pool Klender,brizzi,F
Harmoni - Jakarta International Stadium,1.0,Simpang Danau Sunter Utara Barat,Jembatan Item,dki,M
Rusun Jati Rawasari - Senen,1.0,Sbr. SDN Johar Baru 10,Rusun Jati Rawasari,emoney,F
Roxy - Benhil,1.0,Sbr. Mess Polwan Esthi Bhakti Warapsari,Kel. Kb. Kacang,dki,M
Bintaro - Blok M,0.0,Kantor Pos Kebayoran Lama,Pasar Kebayoran Lama,dki,M
Senen - Pisangan Baru,1.0,Jln. Pramuka 1,BPPK Jakarta,emoney,M
Stasiun Manggarai - Blok M,0.0,Patra Kuningan,Gatot Subroto Jamsostek Arah Barat,emoney,M
PGC 1 - Ancol,0.0,Cawang Otista,Gelanggang Remaja,dki,F
PGC - Juanda,0.0,Matraman 1,Kwitang,emoney,M
Puri Beta - Kuningan (Express),0.0,Kuningan Madya,Latuharhary,dki,M
Pinang Ranti - Pramuka,0.0,Garuda Taman Mini,BKN,bni,F
Cibubur - Balai Kota,1.0,Balai Kota 1,Flyover Karet 2,emoney,M
Pasar Minggu - Ciganjur via KB Ragunan,1.0,Sbr. SDN Cipedak 05,Tanah Baru Cipedak,dki,F
Stasiun Palmerah - Bundaran Senayan,0.0,Senayan JCC Arah Timur,Bundaran Senayan,emoney,F
Bekasi Timur - Cawang,1.0,Superindo Bulak Kapal 2,Taman Margahayu 2,online,M
Rusun Waduk Pluit - Penjaringan,0.0,SPBU Gedong Panjang,Kel. Penjaringan,dki,F
Jakarta International Stadium - Senen,1.0,Jembatan Item,JIS,dki,M
JIS - Terminal Muara Angke,0.0,Sbr. Waduk Pluit,SD Diakonia 2,brizzi,M
Bintara - Cipinang Indah,1.0,Sbr. Minimarket Pondok Kelapa,Minimarket Pondok Kopi,dki,M
Matraman Baru - Ancol,0.0,Slamet Riyadi,Budi Utomo,online,M
Ragunan - Gelora Bung Karno,0.0,Duren Tiga,Masjid Agung,dki,M
Tanjung Priok - Pluit,1.0,Gunung Sahari Mangga Dua,Permai Koja Arah Utara,brizzi,F
Rusun Rawa Bebek - Kodamar,1.0,Kelapa Gading Utama,Walikota Jakarta Timur 1,emoney,F
Cawang UKI - Lubang Buaya,0.0,Pertigaan Jengki Raya,SMA Angkasa 2,emoney,F
Pulo Gadung - Rawa Buaya via Balai Kota,1.0,Pulo Mas,Pulo Gadung 1,dki,M
Term. Rawamangun - Term. Manggarai,1.0,Kel. Rawamangun,Puskesmas Rawamangun,emoney,F
Kalideres - Bundaran HI via Veteran,1.0,Sumur Bor,Grogol 1,brizzi,F
Jelambar - Juanda,0.0,Petojo,Juanda,emoney,M
Rusun Pesakih - Kalideres,1.0,Kalideres 1,Pertamina Kalideres Daan Mogot,dki,F
PGC 1 - Ancol,1.0,BNN LRT,PGC 2,emoney,F
Tanah Abang - Grogol via Tawakal,0.0,Jln. Kota Bambu Raya,Kel. Jati Pulo,online,M
Meruya - Blok M,0.0,Jln. Cipulir 1,CSW 2,dki,F
Rusun Rawa Bebek - Kodamar,0.0,Pengadilan Negeri Jaktim 2,Simpang Tiga 1,dki,F
Rusun Tambora - Pluit,0.0,Jembatan Dua,Pluit,online,M
Kampung Melayu - Pulo Gebang via BKT,1.0,Ps. Inpres Cipinang Besar,Taman Buaran Indah,online,M
Pulo Gadung 2 - Dukuh Atas 2,1.0,Velodrome,Dukuh Atas 2,dki,M
Blok M - Universitas Indonesia,1.0,SPBU Jln. Guru,SMAN 38,dki,M
Lebak Bulus - Cipulir,0.0,Jln. Metro Duta 1,Jln. Lebak Bulus Raya,emoney,F
Harmoni - Jakarta International Stadium,1.0,Pecenongan,Sunter Icon,emoney,M
Pasar Minggu - Tanah Abang,0.0,Balai Kartini,Nifarro Park,dki,F
Pasar Minggu - Velbak,0.0,Simpang Tunda Bara TB Simatupang,Simpang Darmawangsa X,brizzi,M
Rawamangun - Duren Sawit,0.0,Gg. Subuh,Simpang Cipinang Kebembem 1,dki,M
Rusun Pondok Bambu - Walikota Jakarta Timur,0.0,Rusun Pondok Bambu,Masjid Jami Al Barkah 1,dki,M
Jambore Cibubur - Pasar Rebo,1.0,Gelanggang Remaja Ciracas,Jln. Dahlia KDW,dki,M
Tanjung Priok - Pluit,0.0,Mangga Dua,Kali Besar Barat,bni,F
Kalideres - Puri Kembangan,0.0,St. Rawa Buaya,Pool Blue Bird Puri 2,dki,F
Gondangdia - Senen,1.0,Cut Meutia,Selatan St. Gondangdia,dki,M
Tanjung Priok - Sukapura,1.0,RSUD Koja,Taman Barito Sembar,emoney,F
Rusun Kapuk Muara - Penjaringan,0.0,Rusun Kapuk Muara,Penjaringan,dki,M
Lebak Bulus - Ragunan,1.0,PLN Corporate University 2,Sbr. SMAN 66,dki,F
Kampung Melayu - Pondok Kelapa,1.0,Komplek Abadi 2,Jln. Melati Bhakti,dki,F
Pasar Minggu - Jagakarsa,0.0,Masjid Darussalam Cipedak,Simpang Warung Sila Rindang,brizzi,F
Ciputat - CSW,0.0,Yado I,Antena II,dki,M
Sunter Boulevard Barat - Penjaringan,0.0,Mangga Dua,Bandengan Selatan,brizzi,F
Tanah Abang - Blok M,0.0,Sari Pan Pacific,Flyover Karet 2,emoney,M
Cinere - Bundaran Senayan,0.0,Gelora Bung Karno 1,Bundaran Senayan 1,emoney,F
Kampung Rambutan - Monas,0.0,Bank Indonesia Arah Utara,Monas,dki,M
Kalibata - Kuningan,0.0,Sbr. SMA Islam As Syafiiyah 01,Puri Imperium,dki,M
Ciledug - Tendean,0.0,Kebayoran Lama,Tirtayasa,emoney,M
Taman Kota - Budi Luhur,0.0,Sbr. TK Al Husna Petukangan Utara,Simpang Kembangan Raya 2,brizzi,F
Blok M - Pasar Minggu,0.0,Simpang Rawa Barat,Jati Padang 2,brizzi,F
Pasar Minggu - Tanah Abang,1.0,Explorer Tanah Abang,JPO Blok G,online,F
Pulo Gebang - Pulo Gadung 2 via PIK,1.0,Pospol PIK Penggilingan,Walikota Jakarta Timur,dki,M
Tanjung Priok - PGC 2,1.0,Stasiun Jatinegara Arah Utara,Permai Koja Arah Utara,dki,M
Grogol - Benhil,0.0,Koramil Jln. Brigjen Katamso,STIE IBEK,online,M
Harapan Indah - ASMI,1.0,Cakung United Tractors,Pasar Modern Harapan Indah,dki,M
Cilangkap - Cililitan,0.0,Jln. Damai PBSI Cilangkap,RS Restu Kasih,dki,F
Pulo Gebang - Pulo Gadung 2,1.0,Pasar Pulo Gadung,Flyover Radin Inten,dki,M
Rempoa - Blok M,1.0,Masjid Pondok Indah 2,RS Dr Suyoto,dki,M
Kalideres - Puri Kembangan,0.0,Jln. Puri Lingkar Dalam,Puri Kembangan,dki,F
Tanjung Priok - Senen via Taman BMW,0.0,Ps. Kemayoran,RSPAD 3,emoney,F
JIS - Terminal Muara Angke,1.0,SMKN 56,Pangeran Jayakarta 1,dki,F
PGC - Juanda,0.0,Balai Kota,Pecenongan,online,M
Ragunan - MH Thamrin via Kuningan,0.0,Buncit Indah,Imigrasi,dki,F
Pinang Ranti - Pulo Gadung,0.0,SD Jatinegara Kaum,Pintu Kawasan 2,bni,F
Senen - Blok M,1.0,Taman Mataram,MH Thamrin 2,dki,M
Kp. Rambutan - Kalisari,0.0,Sbr. Gg. Rezeki Cijantung,Gg. Bidan Baru,online,M
Lenteng Agung - Aseli,1.0,Sbr. Kec. Jagakarsa,Jln. Aselih,dki,F
Terminal Tanjung Priok - Ancol Barat,1.0,Polsek Pademangan,Jln. R. E. Martadinata,dki,M
Stasiun Tebet - BNN,0.0,Bidara Cina,BNN LRT,brizzi,F
Kampung Rambutan - Pondok Gede,0.0,Pertigaan Cedang 1,Pertigaan H. Sadjim 3,dki,M
Bintara - Cipinang Indah,1.0,Taman Pangkalan Jati Kalimalang,Jln. Teluk Mandar 2,online,M
Ragunan - MH Thamrin,1.0,Pejaten,Buncit Indah,dki,F
Rusun Kapuk Muara - Penjaringan,0.0,Rusun Kapuk Muara,Penjaringan,dki,M
Dukuh Atas - Casablanca via Epicentrum Raya,0.0,The Wave,Kota Kasablanka,flazz,M
Kalimalang - Duren Sawit,0.0,Jln. Swakarsa IV Pondok Kelapa,Klapa Village Pondok Kelapa,brizzi,M
Rawamangun - Duren Sawit,1.0,Velodrome 1,Komplek Wijaya Kusuma 1,brizzi,M
Cibubur - BKN,1.0,Buperta Cibubur,Cibubur Junction,brizzi,F
Kebayoran Lama - Tanah Abang,1.0,Jak Lingko Tanah Abang,Masjid Jami Al Makmur 1,dki,F
Lebak Bulus - Pasar Baru via Tomang,1.0,Permata Hijau,Lebak Bulus,dki,M
Cililitan - Dwikora,0.0,Gg. Siluman Cililitan Besar,Pos Jaga Utama 2,dki,F
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Flyover Radin Inten 1,Rusun Pondok Bambu,dki,M
Grogol - Benhil,0.0,Sbr. Jln. Rasamala Dalam,Roxy Square 2,dki,M
Rawa Buaya - Rawa Kompeni,1.0,Jln. Prima,Sbr. SMAN 95,emoney,F
Tanah Abang - Kebayoran Lama,0.0,DPP FPI,Jln. Kemandoran VII Grogol Utara,dki,M
Rusun Jatinegara Kaum - Pulo Gadung,0.0,Masjid Assuada,Jiep 2,dki,F
Ragunan - Gelora Bung Karno,1.0,Gelora Bung Karno,Buncit Indah,dki,F
Kalideres - Puri Kembangan,0.0,Gg. H. Doel Bojong Raya,Sbr. Jln. Ruby Kembangan Utara,dki,M
Pulo Gadung 2 - Dukuh Atas 2,0.0,Layur,Velodrome,online,F
Pasar Minggu - Jagakarsa,0.0,Sbr. Jln. H. Matasan,Jatipadang Raya,dki,F
Senen - Pulo Gadung,0.0,Atrium 1,Sekolah Penabur Gunung Sahari,dki,M
Kampung Melayu - Tanah Abang,1.0,London School,Kampung Melayu Besar 2,online,F
Terminal Tanah Merah - Pulo Gadung,1.0,Jln. Kuning Tua,Grii Kelapa Gading,emoney,F
Roxy - Benhil,1.0,Jln. Taman Jatibaru Timur,ITC Roxy,online,F
Rusun Komarudin - Penggilingan,0.0,Walikota Jakarta Timur,Penggilingan,emoney,M
Tanah Abang - Kebayoran Lama,1.0,Jln. Madrasah II Sukabumi Selatan,Simpang Rawa Belong Palmerah Barat,dki,M
Pasar Minggu - Tanah Abang,0.0,Otorita Asahan,Mja Rawa Bambu,emoney,M
Kebayoran Lama - Tanah Abang,1.0,Sbr. RSUD Tanah Abang,TPU Karet Bivak,dki,F
Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Sbr. Mushola Al Hidayah Bukit Duri,St. Duren Kalibata 2,emoney,F
Matraman Baru - Ancol,0.0,Budi Utomo,Pademangan,emoney,M
Stasiun Tebet - Karet via Patra Kuningan,1.0,Sawo Kecik Raya,Stasiun Tebet,dki,F
Pantai Maju - Kota,1.0,Mayang Permai,Simpang Mandara Permai 2,dki,F
Tanjung Priok - Pluit,1.0,Sunter Kelapa Gading Arah Utara,Walikota Jakarta Utara Arah Utara,flazz,M
Cibubur - Balai Kota,1.0,Dukuh Atas 3,Plaza Sentral,dki,F
Lebak Bulus - Andara,0.0,Jln. Karang Tengah Raya,Jln. Pinang II Pondok Labu,dki,F
PGC 2 - Grogol 2,0.0,Cawang Ciliwung Arah Barat,Pancoran Barat Arah Barat,dki,F
Pulo Gadung 2 - Tosari,0.0,Pramuka BPKP,Matraman 2,dki,F
Pasar Minggu - Jagakarsa,0.0,Jln. SMP 175,Sbr. Gg. H. Yusuf Jati Padang,online,M
Ciputat - Kampung Rambutan,1.0,Pusdiklat Kemenag 2,Pom Bensin Ciputat,dki,M
Ciledug - Tendean,0.0,JORR,CSW 1,brizzi,F
Terminal Tanjung Priok - Ancol Barat,1.0,SMA 40,Jln. R. E. Martadinata,dki,M
Poris Plawad - Bundaran Senayan,0.0,Plaza Senayan 1,Senayan City,emoney,F
Cililitan - Condet,1.0,Puskesmas Balekambang,Gg. Ayama,emoney,F
Ragunan - Gelora Bung Karno,1.0,SMK 57,Ragunan,flazz,M
Kampung Melayu - Pulo Gebang via BKT,1.0,Jatinegara RS Premier,Hero Basuki Rahmat,emoney,M
Kampung Melayu - Duren Sawit,1.0,Masjid Jami Attaubah 2,Term. Kampung Melayu,dki,F
Pulo Gebang - Matraman,1.0,Imigrasi Jakarta Timur,Stasiun Klender,dki,F
Pesanggrahan - Blok M,1.0,Seskoal 1,Kolong Tol Guru Saleh,flazz,F
Pantai Maju - Kota,1.0,Jln. Tiang Bendera III,RS PIK 2,emoney,M
Pasar Minggu - Jagakarsa,0.0,Sbr. Jln. Kebagusan III,Kementan,dki,M
Senen - Blok M,1.0,Bank Indonesia 2,St. Gambir 2,dki,F
Pancoran - Kampung Rambutan,1.0,Jembatan Pintu Satu,Cawang Ciliwung Arah Barat,emoney,M
Senen - Lebak Bulus,0.0,Pintu Air Menteng,Karet Kuningan,emoney,M
Monas - Pantai Indah Kapuk,0.0,Melody Golf,Pantai Maju,flazz,F
Kampung Melayu - Tanah Abang via Cikini,0.0,JPO Blok E,Pharmin,dki,F
Bulak Turi - Tanjung Priok,1.0,Ruko Enggano,Ps. Jongkok,flazz,F
Pulo Gebang - Pulo Gadung 2,1.0,Flyover Radin Inten,Penggilingan,dki,F
Terminal Tanah Merah - Pulo Gadung,1.0,Jln. Primanota,Boulevard Kelapa Hybrida Raya 2,dki,F
Pinang Ranti - Pramuka,1.0,BKN,Garuda Taman Mini,emoney,F
Tongtek - Tebet Eco Park (TEP) - Cililitan,1.0,Sbr. Ps. Bukit Duri,Tongtek,dki,M
Kampung Melayu - Pondok Kelapa,0.0,Sbr. SMPN 148,Jln. Serdang,dki,F
Pulo Gadung - Monas,1.0,Bermis,Pulo Gadung 1,dki,F
Ciledug - Tendean,0.0,Mayestik,Tirtayasa,emoney,F
Pondok Kelapa - BKN,0.0,Embun Pagi Islamic Elementary School,Lion Center,emoney,M
Pulo Gebang - Matraman,0.0,Slamet Riyadi,Matraman 1,flazz,F
Cilangkap - Cililitan,1.0,Jln. Budi Murni Raya Cilangkap,Jln. Giri Kencana Raya Cilangkap,emoney,F
Puri Beta - Pancoran Barat,0.0,Rawa Barat,Pancoran Barat Arah Timur,dki,M
Kampung Rambutan - Pondok Gede,1.0,Green Terrace,Museum Nasional VIsible Storage,dki,F
Kampung Rambutan - Monas,1.0,Dukuh Atas,Flyover Raya Bogor,emoney,F
Palem Semi - Bundaran Senayan,0.0,Gelora Bung Karno 1,Summitmas,online,M
Pelabuhan Kaliadem - Kota,1.0,Bandengan Selatan,Perumahan Buddha Tzu Chi 2,emoney,F
Pasar Minggu - Tanah Abang,1.0,Grand Sahid,MH Thamrin,dki,F
Blok M - Kota,0.0,Masjid Agung,Polda Metro Jaya,emoney,M
Rusun Pesakih - Kalideres,0.0,Rusun Pesakih,Masjid Raya KH Hasyim Asyari,dki,M
Pelabuhan Kaliadem - Kota,0.0,Perumahan Buddha Tzu Chi 1,Muara Angke,dki,M
Kampung Rambutan - Pinang Ranti,1.0,Mutiara Pulo Dukuh,RPTRA Dukuh,emoney,F
Tanjung Priok - Jembatan Item,1.0,Jln. Warakas I Gg. 8,Sbr. Jln. Ancol Selatan,brizzi,M
Andara - Stasiun Universitas Pancasila,1.0,Sekolah Cita Buana,Andara Margasatwa 1,dki,F
Jakarta International Stadium - Senen,1.0,Polres Metro Jakpus,Sunter Muara 1,flazz,M
Batusari - Grogol,0.0,Komplek Kodam Jaya Kb. Jeruk,SMPN 127,online,M
Pinang Ranti - Kampung Rambutan,1.0,Masjid Jami Al-Baidlo,Asshomadiyah Medicare Centre 2,emoney,F
Kampung Rambutan - Tanjung Priok,0.0,Tanah Merdeka Arah Timur,Kampung Rambutan,dki,M
Summarecon Bekasi - BNN,1.0,BNN LRT,Bandar Djakarta Bekasi,brizzi,M
Terminal Kalideres - Terminal Muara Angke,1.0,Centro Metro Broadway,Pesakih 1,dki,F
Blok M - Andara,1.0,Child Care Pre School,Blok M Jalur 4,brizzi,F
Rusun Rawa Bebek - Bukit Duri,1.0,Flyover Klender,Kampung Sumur,online,M
Rusun Cakung Barat - Pulo Gadung,0.0,Tipar Cakung,Cakung United Tractors,bni,M
Pulo Gebang - Pulo Gadung 2,0.0,Perumnas Klender,Kampung Sumur,dki,M
Rusun Flamboyan - Cengkareng,1.0,Puskesmas Cengkareng,Perumahan KFT 1,dki,M
Pulo Gadung - Monas,1.0,Pulo Mas,Bermis,dki,F
PGC 1 - Ancol,1.0,Tegalan,BNN LRT,emoney,F
Jakarta International Stadium - Senen,1.0,Sbr. Jembatan Sukamulya III,Sunter Muara 1,brizzi,M
Andara - Stasiun Universitas Pancasila,1.0,St. Lenteng Agung 2,Sbr. Yayasan Al Azhar Syuhada,brizzi,F
Blok M - PGC,0.0,Sbr. Kalibata Square,Pertigaan Dewi Sartika,brizzi,F
Taman Waduk Papanggo - Kota Tua,1.0,Sbr. Taman BMW,Sbr. SDN Sunter Agung 09,brizzi,F
Cilangkap - Cililitan,0.0,Sbr. SDN Dukuh 01,Sbr. PLN Kramat Jati,emoney,F
Dukuh Atas - Casablanca via Epicentrum Raya,1.0,Pal Batu 3,Simpang Kawi Raya,brizzi,F
Rusun Jatinegara Kaum - Pulo Gadung,1.0,Pulo Gadung,Jln. Swadaya Pln,brizzi,F
Harmoni - Jakarta International Stadium,0.0,JIS,Juanda,dki,M
Rusun Jati Rawasari - Senen,0.0,Bengkel Jln. Letjen Suprapto,RSPAD 1,emoney,F
Roxy - Benhil,0.0,Yayasan Muhammadiyah 1,Sbr. Pam Jaya DKI,dki,M
Bintaro - Blok M,1.0,Pool Express Tanah Kusir,Jln. IKPN Bintaro,dki,M
Senen - Pisangan Baru,0.0,Jln. Galur Sari Barat 2,SDN Utan Kayu Selatan 23 Pagi,emoney,M
Stasiun Manggarai - Blok M,1.0,Kuningan Timur,Patra Kuningan,emoney,M
Dwikora - Penas Kalimalang,0.0,Mess Wirayudha 2,Cawang Soetoyo 1,dki,F
PGC - Juanda,1.0,Cawang Otista,Cawang UKI,emoney,M
Puri Beta - Kuningan (Express),1.0,Adam Malik,Puri Beta 2,dki,M
Kampung Rambutan - Tanjung Priok,1.0,Pulo Mas Bypass,Plumpang Pertamina Arah Utara,flazz,F
Pinang Ranti - Pramuka,1.0,BKN,Pinang Ranti,bni,F
Cibubur - Balai Kota,0.0,Cibubur Junction,MH Thamrin 2,emoney,M
Pasar Minggu - Ciganjur via KB Ragunan,0.0,Masjid Jami Asy Syakirin,Sbr. Gg. Cermai,dki,F
Stasiun Palmerah - Bundaran Senayan,1.0,Senayan JCC Arah Barat,St. Palmerah,emoney,F
Bekasi Timur - Cawang,0.0,Bulak Kapal 1,Jatibening 1,online,M
Rusun Waduk Pluit - Penjaringan,1.0,Gg. VIII Muara Baru,Rusun Waduk Pluit,dki,F
Jakarta International Stadium - Senen,0.0,Sunter Muara,RSPAD 3,dki,M
JIS - Terminal Muara Angke,1.0,Jln. Industri I,BNN Jakarta Utara,brizzi,M
Bintara - Cipinang Indah,0.0,Sbr. TDP,CPI Belakang 2,dki,M
Matraman Baru - Ancol,1.0,Slamet Riyadi,Pasar Jatinegara,online,M
Ragunan - Gelora Bung Karno,1.0,Masjid Agung,Tirtayasa,dki,M
Tanjung Priok - Pluit,0.0,Penjaringan,Pluit,brizzi,F
Rusun Rawa Bebek - Kodamar,0.0,Bermis 2,Pulo Mas 2,emoney,F
Cawang UKI - Lubang Buaya,1.0,Jln. Gorda,TK Angkasa 5,emoney,F
Pulo Gadung - Rawa Buaya via Balai Kota,0.0,Petojo,Jelambar,dki,M
Term. Rawamangun - Term. Manggarai,0.0,Sbr. RPTRA Pesona Manggarai,St. Manggarai,emoney,F
Kalideres - Bundaran HI via Veteran,0.0,RS Sumber Waras,Jelambar,brizzi,F
Rusun Pesakih - Kalideres,0.0,Rusun Pesakih,Kalideres 1,dki,F
PGC 1 - Ancol,0.0,Jembatan Merah,Gunung Sahari Mangga Dua,emoney,F
Tanah Abang - Grogol via Tawakal,1.0,JPO Blok G,Jak Lingko Tanah Abang,online,M
Rusun Rawa Bebek - Kodamar,1.0,Kampung Padaengan 2,At Thahiriah 2,dki,F
Rusun Tambora - Pluit,1.0,Jembatan Dua,Rusun Tambora,online,M
Kampung Melayu - Pulo Gebang via BKT,0.0,Budhaya Santo Agustinus,Bidara Cina,online,M
Pulo Gadung 2 - Dukuh Atas 2,0.0,Velodrome,Halimun,dki,M
Lebak Bulus - Cipulir,1.0,Pool Express Tanah Kusir,Bintaro Park VIew,emoney,F
Harmoni - Jakarta International Stadium,0.0,Pengadilan Negeri Jakut,Sbr. Jembatan Item,emoney,M
Pasar Minggu - Tanah Abang,1.0,Grand Sahid,Jln. Taman Kb. Sirih,dki,F
Pasar Minggu - Velbak,1.0,Sbr. Jln. Barito II,Sbr. Jln. Pangeran Antasari,brizzi,M
Rusun Pondok Bambu - Walikota Jakarta Timur,1.0,Jln. Teluk Mandar 2,Rusun Pondok Bambu,dki,M
Tanjung Priok - Pluit,1.0,Gedong Panjang,Permai Koja Arah Utara,bni,F
